round,year,player,firstPointWon,secPointWon,won
Final,2009,Rafael Nadal,66,48,1
Final,2010,Roger Federer,72,61,1
Final,2011,Novak Djokovic,70,60,1
Final,2012,Novak Djokovic,68,63,1
Final,2013,Novak Djokovic,75,66,1
Final,2004,Roger Federer,75,60,1
Final,2005,Marat Safin,73,57,1
Final,2006,Roger Federer,71,51,1
Final,2007,Roger Federer,82,78,1
Final,2008,Novak Djokovic,78,63,1
Final,2014,Stanislas Wawrinka,87,51,1
Final,2009,Roger Federer,73,45,0
Final,2010,Andy Murray,69,51,0
Final,2011,Andy Murray,64,31,0
Final,2012,Rafael Nadal,66,45,0
Final,2013,Andy Murray,81,46,0
Final,2004,Marat Safin,63,47,0
Final,2005,Lleyton Hewitt,70,52,0
Final,2006,Marcos Baghdatis,71,37,0
Final,2007,Fernando Gonzalez,69,46,0
Final,2008,Jo-Wilfried Tsonga,71,48,0
Final,2014,Rafael Nadal,60,42,0
